country,country_name,First woman in parliament
AL,Albania,1945.12.02
AD,Andorra,1993.12.12
AM,Armenia,1990.05.20
AT,Austria,1919.02.16
AZ,Azerbaijan,1990.09.30
BY,Belarus,1990.03.03
BE,Belgium,1921.11.20
BA,Bosnia and Herzegovina,1990.12.02
BG,Bulgaria,1945.11.18
HR,Croatia,1992.08.02
CY,Cyprus,1963.10.25
CZ,Czechia,1992.06.06
DK,Denmark,1918.04.22
EE,Estonia,1920.11.29
FI,Finland,1907.03.16
FR,France,1945.10.21
GE,Georgia,1990.11.11
DE,Germany,1919.01.19
GR,Greece,1952.11.16
HU,Hungary,1945.11.04
IS,Iceland,1922.07.08
IE,Ireland,1918.12.14
IT,Italy,1946.06.03
LV,Latvia,1930.10.04
LI,Liechtenstein,1986.02.23
LT,Lithuania,1920.04.16
LU,Luxembourg,1919.10.26
MT,Malta,1966.03.28
MC,Monaco,1963.03.03
ME,Montenegro,2006.09.10
NL,Netherlands,1918.07.03
MK,North Macedonia,1990.11.25
NO,Norway,1911.03.17
PL,Poland,1919.01.25
PT,Portugal,1934.12.16
MD,Republic of Moldova,1990.03.11
RO,Romania,1946.11.19
RU,Russian Federation,1922.12.30
SM,San Marino,1974.09.08
RS,Serbia,2007.01.21
SK,Slovakia,1992.06.06
SI,Slovenia,1992.12.10
ES,Spain,1931.06.28
SE,Sweden,1921.09.10
CH,Switzerland,1971.10.31
TR,Türkiye,1939.03.26
UA,Ukraine,1990.03.04
GB,United Kingdom,1918.12.14